DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2013,19.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2014,24.4,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2015,21.5,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2016,16.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2017,19.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2018,11.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2019,8.3,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2020,9.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2021,10.2,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2022,11.7,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HR,2023,11.4,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2012,22.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2013,21.6,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2014,16.7,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2015,15.5,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2016,11.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2017,10.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2018,8.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2019,8.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2020,10.0,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2021,9.6,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2022,10.6,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,HU,2023,11.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2012,23.6,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2013,20.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2014,18.8,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2015,16.0,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2016,13.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2017,10.7,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2018,8.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2019,6.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2020,6.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2021,8.5,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2022,7.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IE,2023,6.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2012,7.3,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2013,5.7,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2014,4.7,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2015,4.0,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2016,2.7,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2017,2.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2018,2.7,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2019,3.2,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2020,6.3,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2021,6.8,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2022,5.3,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,IS,2023,4.0,
